id,m_bases_no1,m_bases_no2
1,1,4
2,1,5
3,2,5
4,2,6
5,3,6
6,3,7
7,4,8
8,5,9
9,6,10
10,7,11
11,8,12
12,8,13
13,9,13
14,9,14
15,10,14
16,10,15
17,11,15
18,11,16
19,12,17
20,13,18
21,14,19
22,15,20
23,16,21
24,17,22
25,17,23
26,18,23
27,18,24
28,19,24
29,19,25
30,20,25
31,20,26
32,21,26
33,21,27
34,22,28
35,23,29
36,24,30
37,25,31
38,26,32
39,27,33
40,28,34
41,29,34
42,29,35
43,30,35
44,30,36
45,31,36
46,31,37
47,32,37
48,32,38
49,33,38
50,34,39
51,35,40
52,36,41
53,37,42
54,38,43
55,39,44
56,40,44
57,40,45
58,41,45
59,41,46
60,42,46
61,42,47
62,43,47
63,44,48
64,45,49
65,46,50
66,47,51
67,48,52
68,49,52
69,49,53
70,50,53
71,50,54
72,51,54
